job_id,job_title,company,location,job_description,experience,education,salary,job_type
JOB00001,Python Developer,Infosys,Remote,"We are looking for a Python Developer to join our team at Infosys. The candidate will work on data, software, and business projects. Required skills include Python, SQL, Flask. Candidates should have 1-3 years of experience and a MCA. Responsibilities include developing solutions, analyzing requirements, collaborating with teams, testing applications, documenting work, and delivering high-quality results.",1-3 years,MCA,₹10-16 LPA,Part-time
JOB00002,Data Scientist,Infosys,"Hyderabad, Telangana","We are looking for a Data Scientist to join our team at Infosys. The candidate will work on data, software, and business projects. Required skills include Python, SQL, Machine Learning, Pandas, Scikit-learn. Candidates should have 0-2 years of experience and a MCA. Responsibilities include developing solutions, analyzing requirements, collaborating with teams, testing applications, documenting work, and delivering high-quality results.",0-2 years,MCA,₹12-20 LPA,Remote
JOB00003,Data Engineer,IBM,"Bengaluru, Karnataka","We are looking for a Data Engineer to join our team at IBM. The candidate will work on data, software, and business projects. Required skills include Spark, SQL, Python, ETL. Candidates should have 8-12 years of experience and a BCA. Responsibilities include developing solutions, analyzing requirements, collaborating with teams, testing applications, documenting work, and delivering high-quality results.",8-12 years,BCA,₹3-5 LPA,Internship
JOB00004,Business Analyst,Google,"Hyderabad, Telangana","We are looking for a Business Analyst to join our team at Google. The candidate will work on data, software, and business projects. Required skills include SQL, Communication, Power BI, Data Analysis. Candidates should have 1-3 years of experience and a M.Tech. Responsibilities include developing solutions, analyzing requirements, collaborating with teams, testing applications, documenting work, and delivering high-quality results.",1-3 years,M.Tech,₹10-16 LPA,Remote
JOB00005,Business Analyst,Mphasis,"Delhi, India","We are looking for a Business Analyst to join our team at Mphasis. The candidate will work on data, software, and business projects. Required skills include SQL, Data Analysis, Power BI. Candidates should have 8-12 years of experience and a M.Tech. Responsibilities include developing solutions, analyzing requirements, collaborating with teams, testing applications, documenting work, and delivering high-quality results.",8-12 years,M.Tech,₹5-8 LPA,Remote
JOB00006,Software Engineer,Wipro,"Mumbai, Maharashtra","We are looking for a Software Engineer to join our team at Wipro. The candidate will work on data, software, and business projects. Required skills include Git, C++, Java, Python. Candidates should have 8-12 years of experience and a B.Tech. Responsibilities include developing solutions, analyzing requirements, collaborating with teams, testing applications, documenting work, and delivering high-quality results.",8-12 years,B.Tech,₹8-12 LPA,Internship
JOB00007,Frontend Developer,IBM,Remote,"We are looking for a Frontend Developer to join our team at IBM. The candidate will work on data, software, and business projects. Required skills include CSS, Tailwind CSS, HTML, React, JavaScript. Candidates should have 5-8 years of experience and a B.Tech. Responsibilities include developing solutions, analyzing requirements, collaborating with teams, testing applications, documenting work, and delivering high-quality results.",5-8 years,B.Tech,₹6-10 LPA,Remote
JOB00008,AI Engineer,Capgemini,"Kolkata, West Bengal","We are looking for a AI Engineer to join our team at Capgemini. The candidate will work on data, software, and business projects. Required skills include Deep Learning, NLP, Machine Learning. Candidates should have 1-3 years of experience and a Bachelor's Degree. Responsibilities include developing solutions, analyzing requirements, collaborating with teams, testing applications, documenting work, and delivering high-quality results.",1-3 years,Bachelor's Degree,₹3-5 LPA,Part-time
JOB00009,Frontend Developer,Persistent Systems,Remote,"We are looking for a Frontend Developer to join our team at Persistent Systems. The candidate will work on data, software, and business projects. Required skills include React, CSS, Tailwind CSS, HTML. Candidates should have 1-3 years of experience and a MCA. Responsibilities include developing solutions, analyzing requirements, collaborating with teams, testing applications, documenting work, and delivering high-quality results.",1-3 years,MCA,₹5-8 LPA,Internship
JOB00010,AI Engineer,Mphasis,"Delhi, India","We are looking for a AI Engineer to join our team at Mphasis. The candidate will work on data, software, and business projects. Required skills include Deep Learning, Machine Learning, Python, NLP. Candidates should have 5-8 years of experience and a MBA. Responsibilities include developing solutions, analyzing requirements, collaborating with teams, testing applications, documenting work, and delivering high-quality results.",5-8 years,MBA,₹3-5 LPA,Remote
JOB00011,Data Scientist,Accenture,"Pune, Maharashtra","We are looking for a Data Scientist to join our team at Accenture. The candidate will work on data, software, and business projects. Required skills include Python, Pandas, SQL, Machine Learning, Scikit-learn. Candidates should have 5-8 years of experience and a BCA. Responsibilities include developing solutions, analyzing requirements, collaborating with teams, testing applications, documenting work, and delivering high-quality results.",5-8 years,BCA,Not Disclosed,Internship
JOB00012,Python Developer,Mphasis,"Delhi, India","We are looking for a Python Developer to join our team at Mphasis. The candidate will work on data, software, and business projects. Required skills include REST API, Django, SQL, Python. Candidates should have 8-12 years of experience and a M.Tech. Responsibilities include developing solutions, analyzing requirements, collaborating with teams, testing applications, documenting work, and delivering high-quality results.",8-12 years,M.Tech,₹6-10 LPA,Full-time
JOB00013,Product Analyst,Tech Mahindra,"Jaipur, Rajasthan","We are looking for a Product Analyst to join our team at Tech Mahindra. The candidate will work on data, software, and business projects. Required skills include Excel, Analytics, A/B Testing, SQL, Python. Candidates should have Fresher of experience and a M.Sc. Responsibilities include developing solutions, analyzing requirements, collaborating with teams, testing applications, documenting work, and delivering high-quality results.",Fresher,M.Sc,₹8-12 LPA,Remote
JOB00014,Web Developer,Infosys,"Hyderabad, Telangana","We are looking for a Web Developer to join our team at Infosys. The candidate will work on data, software, and business projects. Required skills include CSS, HTML, React. Candidates should have 1-3 years of experience and a M.Sc. Responsibilities include developing solutions, analyzing requirements, collaborating with teams, testing applications, documenting work, and delivering high-quality results.",1-3 years,M.Sc,₹12-20 LPA,Part-time
JOB00015,Business Analyst,Mphasis,"Pune, Maharashtra","We are looking for a Business Analyst to join our team at Mphasis. The candidate will work on data, software, and business projects. Required skills include Power BI, Communication, SQL. Candidates should have 0-2 years of experience and a Any Graduate. Responsibilities include developing solutions, analyzing requirements, collaborating with teams, testing applications, documenting work, and delivering high-quality results.",0-2 years,Any Graduate,₹5-8 LPA,Remote
